MSA,year,cdfi,cdfi_pp
13820,2000,32675.77263747039,0.033290820547077646
13820,2001,545.5327039552537,5.535421424466613e-4
13820,2002,0,0
13820,2003,1120.4815783775423,0.0011277650070113953
13820,2004,78650.02998792908,0.07884341034682116
13820,2005,524979.1216499304,0.5241651680247262
13820,2006,959624.411368331,0.9415296902680356
13820,2007,800547.9546864461,0.7712103420639899
13820,2008,2241941.0601742035,2.1366328375117614
13820,2009,706828.9076256744,0.6650911147213369
13820,2010,4753796.866071725,4.476310385287738
13820,2011,1781840.1399001954,1.6724831562459008
13820,2012,2017200.0934237288,1.8847651830701235
13820,2013,695708.560208072,0.6477130250517381
13820,2014,1554336.4758237929,1.441552306470179
13820,2015,718920.3314640705,0.6655400279799135
13820,2016,3820614.0229338068,3.5302052206613235
13820,2017,2462777.922836393,2.2695213696468546
16740,2000,9039795.833219219,5.1873935646285325
16740,2001,8774433.71754934,4.926086847326589
16740,2002,18619248.37022252,10.231544359362864
16740,2003,36391306.16873405,19.582490066364397
16740,2004,48789805.15039306,25.72039931196143
16740,2005,55296536.22385399,28.569622099125446
16740,2006,45673896.76193176,22.370692026130968
16740,2007,32770422.95534363,15.4606491951525
16740,2008,32688884.43221395,14.98176801538374
16740,2009,20100303.289085004,9.000644942042992
16740,2010,52066378.31091952,23.13353886052599
16740,2011,15211282.231903985,6.658846383996996
16740,2012,13512352.160155686,5.816667883530067
16740,2013,11889891.554721821,5.03495133106518
16740,2014,21704855.893525694,9.020031165557711
16740,2015,13240011.026275156,5.39956592512764
16740,2016,38945047.64142747,15.579483528022623
16740,2017,31450022.462517735,12.331828470669182
17140,2000,37559.95832992892,0.018621870176233155
17140,2001,0,0
17140,2002,15064.324411741498,0.007446677013285733
17140,2003,94826.18481169283,0.0468058236203763
17140,2004,1176602.18793361,0.5799104933056992
17140,2005,2457069.9639639375,1.2092315863014156
17140,2006,3303421.6585718356,1.5664691715053518
17140,2007,966229.5883731707,0.4514384843368775
17140,2008,7602944.437091398,3.5162644895350237
17140,2009,1147740.0737200773,0.5267641525208607
17140,2010,7439501.740759758,3.4779450049389933
17140,2011,12337556.814591654,5.7517613313682965
17140,2012,17303305.467210203,8.040760012068224
17140,2013,11343378.329775015,5.251265011193814
17140,2014,25194760.250090238,11.599284861299978
17140,2015,26962837.722190686,12.363572624075838
17140,2016,54089494.70554759,24.721890849500184
17140,2017,28260210.838439636,12.836780526049537
18140,2000,1227932.4154751208,0.733088289747674
18140,2001,0,0
18140,2002,268.69391619979484,1.579456676937158e-4
18140,2003,953760.2395050654,0.5563676414016531
18140,2004,76074460.188642025,44.04124535379194
18140,2005,16601667.749728799,9.538836545316585
18140,2006,9815727.51522188,5.487991060645148
18140,2007,10353530.791730493,5.693301567147872
18140,2008,7303988.176375137,3.9637144668622497
18140,2009,7008162.795516495,3.7446108593952094
18140,2010,25778781.6949483,13.527105967660555
18140,2011,7062154.632207571,3.671401970830914
18140,2012,7230137.967210517,3.7184301875279737
18140,2013,65819976.87778421,33.44748959671125
18140,2014,65791649.70609468,32.990805381741374
18140,2015,74417990.15441702,36.81010240252356
18140,2016,27581279.047884688,13.505048268214413
18140,2017,9054586.135945251,4.355884651068432
19430,2000,0,0
19430,2001,0,0
19430,2002,225971.58352402746,0.28473868730050345
19430,2003,0,0
19430,2004,809900.966964919,1.0364678678258938
19430,2005,505669.5820567324,0.6522227236054239
19430,2006,2367510.1378559726,2.9725822216563427
19430,2007,1021750.1272611449,1.2871664167220689
19430,2008,2076916.5566120504,2.61279902354136
19430,2009,4135842.6696554916,5.211226070295627
19430,2010,1295227.0679698603,1.620806592172514
19430,2011,975477.1227350209,1.2143297038298293
19430,2012,9743153.726404283,12.164162700324459
19430,2013,54924.16437475164,0.06844226447309763
19430,2014,990377.3154709896,1.2366793144551314
19430,2015,1288415.8108268671,1.6086918873765523
19430,2016,2825837.0262512797,3.529283157318539
19430,2017,2201171.675365868,2.73976579426582
24340,2000,0,0
24340,2001,0,0
24340,2002,247523.52254241303,0.2624584825286656
24340,2003,269916.2439099838,0.2850442938435475
24340,2004,5908.610637495285,0.006214626106994265
24340,2005,750080.706552811,0.7857619313521009
24340,2006,447856.25679179427,0.4554865015970478
24340,2007,534613.3141041807,0.5399403657526968
24340,2008,0,0
24340,2009,47233.81311234065,0.04732273252675843
24340,2010,14384.183066047312,0.014459662504319862
24340,2011,1646808.609449633,1.643692169097025
24340,2012,30558.523109359106,0.030238508968940807
24340,2013,1068577.948222786,1.0461188232073475
24340,2014,1516496.943381527,1.4686526461285958
24340,2015,8995373.161644548,8.620989452682888
24340,2016,5464008.3183389325,5.194872370564716
24340,2017,3748459.882707625,3.5274841646945028
24660,2000,1739282.0348361798,2.7031410329580217
24660,2001,2610071.972814223,4.038239952740316
24660,2002,4319969.428728794,6.653804753697807
24660,2003,9143281.095990255,14.020061267440594
24660,2004,15558960.710994342,23.751745184446058
24660,2005,20913274.666132815,31.78429980794531
24660,2006,18648782.315139968,27.20948486111309
24660,2007,11473435.686906602,16.425891144710146
24660,2008,11088024.101764804,15.712449342432029
24660,2009,4493195.661206444,6.286255848015003
24660,2010,39122808.1700633,53.94151263930899
24660,2011,9070305.175236057,12.408655361858223
24660,2012,5634583.139333047,7.655007559567493
24660,2013,18239317.188363288,24.612304168140835
24660,2014,15476876.520470226,20.73000486271667
24660,2015,5881457.309841856,7.819454329138539
24660,2016,11566246.080963656,15.296454859442056
24660,2017,11636736.406218665,15.28767867719062
24860,2000,0,0
24860,2001,52784.71050739113,0.07238703187459254
24860,2002,401597.9879696994,0.5480902289457772
24860,2003,238573.04300131468,0.3240409057563484
24860,2004,0,0
24860,2005,2639751.212160815,3.551460961407608
24860,2006,122710.8437467056,0.1573318816316267
24860,2007,4006026.6990957162,5.046587654077639
24860,2008,10333871.356293675,12.796730014975944
24860,2009,669528.503683548,0.812024120375235
24860,2010,642380.5602790018,0.7778464000859747
24860,2011,847500.5987494817,1.0138913166095997
24860,2012,847189.7663895325,1.0051453413460383
24860,2013,2104550.813852419,2.4731343990086776
24860,2014,2645273.7306819395,3.067115610387854
24860,2015,3667010.748523715,4.191496953856766
24860,2016,6833146.848724702,7.721288001044891
24860,2017,8564523.555573536,9.559441554211173
26900,2000,680578.0982809054,0.41036701370360334
26900,2001,3010571.882497004,1.7983198739997845
26900,2002,1490672.199519451,0.8821886615310632
26900,2003,844847.0600904803,0.4954000020048578
26900,2004,4469738.068168993,2.597138432396038
26900,2005,3297345.0519914976,1.8986652862014133
26900,2006,1936733.0320414559,1.0788202994415679
26900,2007,4633939.498693627,2.537647371219082
26900,2008,5789955.34430531,3.132472326533441
26900,2009,4386359.1018932145,2.337800569795283
26900,2010,8089573.066841408,4.274473214357602
26900,2011,5649314.237004936,2.9571120829206494
26900,2012,9080038.612692105,4.706609758757266
26900,2013,11783664.832866216,6.031028555493908
26900,2014,13110100.869158559,6.651230554005475
26900,2015,14971689.085219422,7.529761878767624
26900,2016,14782043.557392765,7.375466918964286
26900,2017,12728438.556621829,6.275326145792688
27260,2000,0,0
27260,2001,16130.62661046744,0.014099658373875107
27260,2002,989704.4839911624,0.8492856492127533
27260,2003,373116.41560590826,0.3144332979809204
27260,2004,810074.3718423237,0.6706329145134519
27260,2005,1867349.661223338,1.519135104129618
27260,2006,2268555.843743144,1.7753437830624563
27260,2007,6672338.454048369,5.130373820157201
27260,2008,114022.31987988198,0.08680060769837819
27260,2009,2363329.994623211,1.7787172254254147
27260,2010,1897706.9096786864,1.40667056786135
27260,2011,3393024.090325575,2.494566170839129
27260,2012,1704587.208308471,1.2371615821710302
27260,2013,3051694.477429653,2.1879929947314083
27260,2014,4230823.842510772,2.980826269641632
27260,2015,1945119.373296855,1.3418336485679858
27260,2016,1666222.028708125,1.1273033765260714
27260,2017,7771943.13084045,5.165008427319486
28140,2000,0,0
28140,2001,0,0
28140,2002,312966.61277203506,0.16993329878902474
28140,2003,3079136.0439656638,1.6581890384429945
28140,2004,902616.0592312336,0.4821277130718761
28140,2005,198258.16755332405,0.10504435659137203
28140,2006,2532457.4078673692,1.3061156087453258
28140,2007,1447193.5101887418,0.73896350109974
28140,2008,2229136.3536516926,1.1264824181211042
28140,2009,4555392.022718296,2.230114292807801
28140,2010,7687873.153033687,3.823484756554036
28140,2011,7990340.085848402,3.9463458520427284
28140,2012,15762610.848102147,7.729736878469602
28140,2013,18278154.408567403,8.897470832560925
28140,2014,10558371.730727443,5.097362929662655
28140,2015,8474542.771530485,4.059000101315467
28140,2016,42995015.894827135,20.429067706370397
28140,2017,70616038.83727987,33.17875615313446
28940,2000,167294.83662063896,0.22992693323342353
28940,2001,681703.652757491,0.9306690240282202
28940,2002,930977.3981969542,1.2625553957698077
28940,2003,1229030.041696698,1.6557873196306765
28940,2004,2947280.49449189,3.9446920464502857
28940,2005,1078245.5394905813,1.433763340913503
28940,2006,5249813.027500534,6.733103146294883
28940,2007,1521584.0066280835,1.9153178026331914
28940,2008,2972016.8525794973,3.6767279441856777
28940,2009,3805278.150026612,4.657549084318869
28940,2010,3219128.213179344,3.9465093518117715
28940,2011,5033585.45154612,6.133208382432431
28940,2012,12143946.3330795,14.712231089998328
28940,2013,11382255.908061821,13.718189157862678
28940,2014,10840321.473955123,12.983851482983901
28940,2015,25266504.71643638,30.11807479474843
28940,2016,12225422.582316812,14.453912331707077
28940,2017,9082591.869528161,10.640050548694402
31140,2000,0,0
31140,2001,21153.336692768677,0.019326140146511548
31140,2002,0,0
31140,2003,40487.43658649756,0.03668709295343453
31140,2004,859996.9938068654,0.776093963268409
31140,2005,24542.19644799531,0.0220578095974556
31140,2006,2467435.8443051497,2.1632715239854843
31140,2007,597661.0192110908,0.5174052552575774
31140,2008,466347.8676391209,0.39929128802028263
31140,2009,337830.99574082415,0.2860136218556197
31140,2010,3114536.509063444,2.5859566300539054
31140,2011,6120975.998258699,5.048519088325675
31140,2012,442849.7091631102,0.36319132011385785
31140,2013,4475679.508520683,3.6376193088196507
31140,2014,4130174.91573269,3.3368328864746766
31140,2015,2975387.6864237217,2.388173928249919
31140,2016,1145143.863725609,0.9151757545859801
31140,2017,1328882.4672862915,1.0533677991989983
32820,2000,5105397.153707003,4.236126957516738
32820,2001,5594537.190500999,4.61462934991833
32820,2002,7526373.195446225,6.171727067308153
32820,2003,9842547.184097132,8.024013996822706
32820,2004,10948148.141452283,8.873659878521336
32820,2005,18391575.836631972,14.820865232331816
32820,2006,29091529.20661158,22.842374414910832
32820,2007,54295216.99977562,42.426656758251944
32820,2008,55034804.22812381,42.81498061172996
32820,2009,29256556.93933938,22.427685536456853
32820,2010,14629751.059210919,11.10740432263111
32820,2011,21942964.00884362,16.554530537129963
32820,2012,42266525.90574531,31.706798584700802
32820,2013,48310870.16210851,36.23582501367614
32820,2014,36767441.66989508,27.54534335175692
32820,2015,38183505.91644771,28.579826737758662
32820,2016,160716721.6428852,120.40374257322941
32820,2017,258266300.4599267,192.69635542226132
34980,2000,866402.5143443093,0.6375331969167658
34980,2001,4612549.754337195,3.3548049213914815
34980,2002,4031664.8870551568,2.8987579097850635
34980,2003,2744849.3842092645,1.951210984983803
34980,2004,10374804.823762355,7.292550451675332
34980,2005,13664009.51481419,9.49829862357778
34980,2006,14968902.600123229,9.921697983762275
34980,2007,9072760.513785873,5.750551754294724
34980,2008,8209936.555855956,5.104729562802932
34980,2009,8404442.013476625,5.119845860463287
34980,2010,13007732.52038114,7.879501076052039
34980,2011,16043366.375637617,9.585494272696463
34980,2012,7915780.920914133,4.649460516620186
34980,2013,13344607.1416706,7.695789735071689
34980,2014,22576504.138203606,12.76657700303358
34980,2015,24342905.700573396,13.474512299462354
34980,2016,30550500.242665295,16.582372191716924
34980,2017,48307290.27714575,25.728787221031656
36420,2000,0,0
36420,2001,216977.81052177388,0.19694079518334656
36420,2002,0,0
36420,2003,111916.49137731033,0.10042920391402768
36420,2004,159568.45266842702,0.14238255669729294
36420,2005,1547073.124011581,1.3727081987812981
36420,2006,3824669.8758615283,3.266337535919784
36420,2007,1007930.6096461156,0.8446546437382861
36420,2008,1204751.8502884414,0.9950804407738624
36420,2009,2208277.851737616,1.7928364183648564
36420,2010,1156646.4485164266,0.9199300484494215
36420,2011,629346.6905897636,0.49234522988599655
36420,2012,1558839.447711038,1.2018196820447362
36420,2013,7296853.9279071335,5.528635851998352
36420,2014,3630940.9958967934,2.7163611957994793
36420,2015,5994811.781010596,4.417515709393205
36420,2016,10369633.373731395,7.555717828577067
36420,2017,10765228.876900366,7.780030987136204
36540,2000,92149.87998856117,0.12013683752049913
36540,2001,2720.8613663603674,0.003520775141000406
36540,2002,53738.783239958975,0.06902307308360173
36540,2003,0,0
36540,2004,172120.3968313844,0.21785070101564413
36540,2005,453366.7245701092,0.5696671142874671
36540,2006,334112.48272668995,0.4073166536751487
36540,2007,74739.41442089198,0.090115127886223
36540,2008,3032535.3390789437,3.617426115399551
36540,2009,442170.16928642994,0.520156138875801
36540,2010,618443.0658370119,0.7126381514147048
36540,2011,1578780.4602687203,1.8003946369159824
36540,2012,4676596.822365725,5.278188966161968
36540,2013,1215102.2156429514,1.3573922116180221
36540,2014,5625816.3554128455,6.219890540740005
36540,2015,2438954.3645524234,2.664254371198449
36540,2016,3266383.6171194767,3.536405888755395
36540,2017,1737958.6379288542,1.8637106503506113
39580,2000,3183797.690027781,3.9943715052081696
39580,2001,3051084.1478114263,3.7051068580248847
39580,2002,7505157.123823089,8.830734371047136
39580,2003,28583221.731490217,32.618069469281615
39580,2004,88399629.30637118,97.9269445384275
39580,2005,35063912.53278898,37.73885323243335
39580,2006,44126513.31334568,44.372967111679245
39580,2007,25092119.660074014,23.951821349277605
39580,2008,21788798.75941436,20.020746605900666
39580,2009,8143508.733172387,7.236448819449651
39580,2010,87803651.28525501,77.21215160147437
39580,2011,5768486.525021307,4.957750537392112
39580,2012,9304479.5424393,7.826703921595088
39580,2013,25558305.400515497,21.043401518021046
39580,2014,25403476.511318102,20.435536324277315
39580,2015,7664238.481632014,6.0171893452836045
39580,2016,11711326.077374151,8.986984603665254
39580,2017,15637662.20132532,11.714929704652226
40060,2000,37559.95832992892,0.03610867833047065
40060,2001,265828.1554934079,0.2533133953707797
40060,2002,782059.169021542,0.7387558747364004
40060,2003,692065.2493851983,0.6481050781759081
40060,2004,1374807.8162489627,1.2764674508941296
40060,2005,3304817.7801685845,3.0424007214813082
40060,2006,3752305.114176223,3.336381331608062
40060,2007,3632421.8832711237,3.177438158481798
40060,2008,6187193.143642036,5.363759511028034
40060,2009,4355622.927514614,3.7381224757461133
40060,2010,5592781.592587506,4.70872346984717
40060,2011,1427745.0142670828,1.193129268114346
40060,2012,7387292.092986149,6.1008034647643585
40060,2013,12680599.855414417,10.36287117665687
40060,2014,15144284.576522378,12.24156474434362
40060,2015,9237812.911439544,7.402674978836114
40060,2016,22129656.60776907,17.58911461538143
40060,2017,23553832.206900027,18.53094534685389
41180,2000,1223498.9492826213,0.4573241447106488
41180,2001,349592.5935181782,0.130378257257311
41180,2002,2157772.0199644915,0.8029215600832996
41180,2003,9851805.969595546,3.6577179372288375
41180,2004,7609202.5460482845,2.818788444142803
41180,2005,16215293.509127025,5.993483221501843
41180,2006,13412114.279291973,4.8430012566008855
41180,2007,30159454.32335613,10.855792556792778
41180,2008,16914700.33418743,6.059853835164552
41180,2009,49592294.97092322,17.679281856856573
41180,2010,37523631.510632396,13.452840565793654
41180,2011,54158041.542947374,19.398433936361585
41180,2012,63559107.07610931,22.73335894607773
41180,2013,76974951.99496599,27.482328644571773
41180,2014,48524744.70619675,17.292987226891153
41180,2015,59357707.31661688,21.114068864764388
41180,2016,66708542.51244067,23.766099742290425
41180,2017,30364847.227724407,10.818122531565423
46140,2000,417332.87033254356,0.48553500082899015
46140,2001,288154.1834350779,0.33412391967182886
46140,2002,300700.7354975144,0.3475094968993493
46140,2003,1958933.5984842626,2.256349023132111
46140,2004,652209.1404141834,0.7487427292523757
46140,2005,2393330.8872029614,2.738497949843819
46140,2006,1824331.7716546762,2.0350887618260027
46140,2007,3786893.196181124,4.183316850925364
46140,2008,1617155.75839239,1.7606792915199285
46140,2009,4840476.627221181,5.193839497428746
46140,2010,2030410.7404008561,2.160284908835114
46140,2011,13746302.522183083,14.515493012403349
46140,2012,4207157.704159034,4.41940864305924
46140,2013,2146744.1272485354,2.232419939694116
46140,2014,3847481.8660631664,3.9687837733106326
46140,2015,2368429.867685988,2.4157446422490785
46140,2016,3240061.4191378956,3.284983569450126
46140,2017,2922328.499340997,2.950630951427086
